Event_ID,Date,Country,Reason,Action_Summary,Action_Level,Action_Classification,Status,Type,Device,Source,manufacturer_name,device_name
65e7e304-f8d3-400e-bc67-a545d764818f,2016-04-09,GBR,instruction correction detected in bandage,software update,Retail,Class 3,classified,safety alert,bandage,TGA,HealthTech,bandage
64c6e4c4-ca8d-4608-9048-1e212c2a647c,2023-03-29,JPN,infection detected in infusion pump,terminated,Public Recall,Class 1,terminated,recall,infusion pump,Health Canada,Meditech Corp,infusion pump
4b97a312-8522-4e32-8692-8672de4638fb,2020-01-25,,seriols injury detected in ventilator,terminated,Public Recall,Class 1,,field safety,ventilator,CDSCO,MediNova,ventilator
98da1884-e49d-49f0-bf04-856d68ead058,2023-11-15,USA,instruction correction detected in syringe,terminated,Sponsor Control,Class 3,open,safety alert,syringe,TGA,Meditech Corp,syringe
ecfc275e-5ca7-452a-bf3c-eb08b3413adb,2016-04-08,,explksion detected in defibrillator,recall,Healthcare Professional,Class 1,,field safety,defibrillator,FDA,BioCare,defibrillator
ae73de26-272e-4f6f-ba13-9be47a883b95,2015-10-04,USA,serious injury detected in ventilator,terminated,Public Recall,Class 1,terminated,recall,ventilator,PMDA,GlobalMed,ventilator
cc16cf24-c09e-422e-822e-ca01010b2266,2016-09-09,IND,malfunction detected in diagnostic monitor,software update,Hospital,Class 2,open,recall,diagnostic monitor,MHRA,GlobalMed,diagnostic monitor
e6d261db-64b9-45ec-a3bd-fda4896d3022,2021-02-11,JPN,fatal detected in defibrillator,recall,Healthcare Professional,Class 1,terminated,field safety,defibrillator,Health Canada,GlobalMed,defibrillator
70558257-9690-40eb-932c-b00ee4fa7417,2021-02-14,JPN,death detected in infusion pump,recall,Healthcare Professional,Class 1,open,field safety,infusion pump,CDSCO,HealthTech,infusion pump
bd78aebc-6b85-4b79-80d6-5007ffc54784,2025-06-06,CAN,quality problem detected in diagnostic monitor,terminated,Sponsor Control,Class 2,terminated,recall,diagnostic monitor,EMA,BioCare,diagnostic monitor
7427a76d-3761-48e8-b513-278b8cceff90,2024-09-06,,cosmetic defect detected in bandage,software update,Retail,Class 3,,recall,bandage,TGA,Meditech Corp,bandage
277048cc-38dc-4fb7-830c-7e8e7f005b74,2023-08-05,DEU,fatal detected in ventilator,recall,Public Recall,Class 1,classified,recall,ventilator,TGA,LifeSystems,ventilator
fcfc5132-463d-475e-b9ab-b1826129789f,2015-12-06,JPN,serious injury detected in surgical implant,terminated,Hospital,Class 1,classified,field safety,surgical implant,TGA,Meditech Corp,surgical implant
1ef7aeba-48fe-4aa9-a328-529cc6c7c56d,2021-08-02,CHN,quality problem detected in diagnostic monitor,recall,Hospital,Class 2,classified,field safety,diagnostic monitor,FDA,Meditech Corp,diagnostic monitor
ed631f34-ecfd-4652-a1b0-cb5e4d9df154,2022-08-05,MEX,cosmetic defect detected in catheter,software update,Sponsor Control,Class 3,classified,safety alert,catheter,CDSCO,GlobalMed,catheter
ce0e1595-0f77-4b31-a7f9-5d8fbb60386f,2025-02-11,IND,explosion detected in surgical implant,terminated,Healthcare Professional,Class 1,open,recall,surgical implant,PMDA,MediNova,surgical implant
cf7b56e4-4c76-4785-8313-c5a0158f6c6e,2023-06-13,BRA,packaging detected in dressing,software update,Retail,Class 3,terminated,field safety,dressing,CDSCO,GlobalMed,dressing
0e1cd1e9-302e-4849-a296-83f2e530aeff,2015-12-09,CHN,paperwork detected in syringe,software update,Wholesale,Class 3,open,recall,syringe,CDSCO,CardioPlus,syringe
118706,2018-10-11,AND,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,and-architect-havab-igg-reagent-kit-architect-havab-igm-reagent-kit,Health Andorra,,
a2468afc-3398-4df7-a7b6-45dbf2e45e7c,2020-07-07,IND,implant detected in ventilator,recall,Public Recall,Class 1,classified,field safety,ventilator,PMDA,MediNova,ventilator
edb9a87e-3c5d-4993-abac-6ae700316164,2023-06-28,USA,fatal detected in surgical implant,recall,Healthcare Professional,Class 1,terminated,recall,surgical implant,FDA,GlobalMed,surgical implant
a8d99f9d-1ceb-43d7-a64d-950f36215316,2018-04-02,IND,software error detected in laser therapy unit,software update,Sponsor Control,Class 2,open,field safety,laser therapy unit,CDSCO,LifeSystems,laser therapy unit
797f8fbe-b260-4c66-aff4-6f4bf981e579,2024-01-25,AUS,explosion detected in ventilator,software update,Healthcare Professional,Class 1,terminated,recall,ventilator,PMDA,GlobalMed,ventilator
45404,2015-08-31,CZE,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,cze-brilliance-64-ingenuity-ct-core-core128,"Ministry of Health, State Institute for Drug Control, Coordination Center for Departmental Medical Information Systems",,
085807fd-ed35-4cef-a093-8fd45d777352,2017-04-03,MEX,implant detected in infusion pump,terminated,Public Recall,Class 1,classified,safety alert,infusion pump,FDA,BioCare,infusion pump
7a716521-a859-435e-98a6-f6c72b9e0254,2021-03-04,,evplosion detected in defibrillator,terminated,Healthcare Professional,Class 1,,field safety,defibrillator,CDSCO,Meditech Corp,defibrillator
bf0f05d6-3910-4141-9b71-3e12dcf511c0,2023-05-27,USA,cardiac detected in ventilator,terminated,Public Recall,Class 1,classified,recall,ventilator,TGA,Meditech Corp,ventilator
d2f2baf5-daab-4cfe-85db-d9db78b33d09,2024-12-28,MEX,fatal detected in infusion pump,recall,Hospital,Class 1,open,field safety,infusion pump,CDSCO,MediNova,infusion pump
935d6239-61b1-4f1e-a9f8-2244817c7632,2020-02-04,,cirdiac detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,,field safety,cardiac pacemaker,TGA,BioCare,cardiac pacemaker
7e1ac14e-07ae-4655-8c17-6d3d4de5b121,2022-07-31,,fatal ketected in surgical implant,software update,Healthcare Professional,Class 1,,recall,surgical implant,EMA,BioCare,surgical implant
0de6bd0a-e1e1-4bdf-b10f-1684e3bf878d,2017-05-19,IND,explosion detected in defibrillator,terminated,Public Recall,Class 1,classified,recall,defibrillator,EMA,BioCare,defibrillator
3ff1ef5e-bef7-4e6b-a31c-780da411c7c7,2023-08-10,CHN,cosmetic defect detected in disposable glove,software update,Retail,Class 3,open,field safety,disposable glove,FDA,Meditech Corp,disposable glove
7930aa1e-434f-4109-844f-5b9dbe660499,2020-09-25,USA,implant detected in infusion pump,terminated,Hospital,Class 1,open,safety alert,infusion pump,MHRA,HealthTech,infusion pump
733410ac-182b-407e-a0c5-7cd21227912a,2022-02-27,CAN,infection detected in surgical implant,recall,Hospital,Class 1,open,safety alert,surgical implant,TGA,Meditech Corp,surgical implant
6837c9fe-942c-417c-9211-eb2f050b118f,2015-09-04,FRA,quality problem detected in ultrasound machine,terminated,Hospital,Class 2,open,recall,ultrasound machine,EMA,BioCare,ultrasound machine
c25758c4-a3c4-4197-818e-7cf06e6d238a,2022-11-11,FRA,instruction correction detected in catheter,software update,Wholesale,Class 3,terminated,field safety,catheter,CDSCO,BioCare,catheter
40412e82-95a0-4a8f-a2be-34f88bb874f2,2017-09-01,,paperwork detected in syrhnge,software update,Wholesale,Class 3,,field safety,syringe,EMA,HealthTech,syringe
8ca7c433-4233-46a8-902c-13fb2d089392,2016-02-06,FRA,malfunction detected in laser therapy unit,software update,Hospital,Class 2,terminated,recall,laser therapy unit,MHRA,LifeSystems,laser therapy unit
f5b3d49c-881c-4b4b-b1a9-e9967ef5b731,2020-02-26,BRA,instruction correction detected in dressing,software update,Wholesale,Class 3,open,recall,dressing,MHRA,Meditech Corp,dressing
4d2609a4-006c-4580-abce-02e23a41a72f,2022-04-27,JPN,cosmetic defect detected in disposable glove,software update,Wholesale,Class 3,open,safety alert,disposable glove,PMDA,BioCare,disposable glove
65559,2017-02-20,GBR,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Safety alert / Field Safety Notice,gbr-digital-accelerator-28b203dd,Medicines and Healthcare products Regulatory Agency,,
8bb82470-7b54-41ed-b0a6-468f4a56a4ca,2018-12-07,,death detected in surgical implant,recall,Healthcare Professional,Class 1,,recall,surgical implant,TGA,HealthTech,surgical implant
f31197dd-edad-4501-8b68-2ca2290db660,2016-01-01,GBR,documentation update detected in syringe,software update,Wholesale,Class 3,open,safety alert,syringe,EMA,MediNova,syringe
017908af-2d20-439a-aa16-405942e01662,2020-09-30,MEX,manufacturing defect detected in x-ray device,software update,Wholesale,Class 2,terminated,recall,x-ray device,MHRA,Meditech Corp,x-ray device
a7949f1d-36b8-4ca2-bf95-e829e73cd405,2017-09-24,USA,manufacturing defect detected in x-ray device,recall,Wholesale,Class 2,terminated,safety alert,x-ray device,PMDA,LifeSystems,x-ray device
99b03bef-d427-4465-b340-c60002d9d8d6,2018-05-31,BRA,implant detected in surgical implant,terminated,Healthcare Professional,Class 1,open,recall,surgical implant,CDSCO,HealthTech,surgical implant
be549058-a749-4844-a3f1-941b2a0be712,2024-03-04,FRA,death detected in infusion pump,terminated,Public Recall,Class 1,classified,field safety,infusion pump,FDA,GlobalMed,infusion pump
11713,2013-10-29,FRA,Device failure / Feature Before Use - Manufacturing,0.014 Inch Angioplasty Guides and Attain Hybrid Mandrels - Medtronic - Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,fra-0-014-inch-angioplasty-guides-and-attain-hybrid-mandrels,L’Agence nationale de sécurité du médicament et des produits de santé (ANSM),,
dd673172-3e1f-47cf-8318-dadb5a8e8f53,2021-02-18,GBR,malfunction detected in laser therapy unit,software update,Wholesale,Class 2,classified,recall,laser therapy unit,MHRA,HealthTech,laser therapy unit
51c4859f-63f4-477a-992e-9005b7d21906,2018-06-03,JPN,cosmetic defect detected in disposable glove,software update,Sponsor Control,Class 3,open,recall,disposable glove,TGA,MediNova,disposable glove
54700bba-a693-4a71-a1ca-2abb14ddc087,2018-05-29,AUS,serious injury detected in ventilator,recall,Hospital,Class 1,open,recall,ventilator,TGA,MediNova,ventilator
4155764d-299d-4217-a86c-53e23697d8a8,2025-08-15,GBR,cosmetic defect detected in bandage,software update,Retail,Class 3,classified,recall,bandage,MHRA,BioCare,bandage
08dbb17b-ebb4-403f-a5e3-966fe5cfd4b3,2022-05-28,FRA,malfunction detected in x-ray device,terminated,Sponsor Control,Class 2,open,safety alert,x-ray device,TGA,LifeSystems,x-ray device
dc721b03-8d1e-482a-a17e-a1d5b32b047c,2024-08-06,JPN,instruction correction detected in disposable glove,software update,Retail,Class 3,open,recall,disposable glove,FDA,CardioPlus,disposable glove
3b3a83f2-ac5f-49b6-9745-eaa6d948bc4d,2017-05-14,CHN,infection detected in surgical implant,terminated,Hospital,Class 1,open,field safety,surgical implant,Health Canada,GlobalMed,surgical implant
7ec56fb7-1b2f-44ca-9f72-737d2f9836c1,2023-05-03,USA,infection detected in ventilator,software update,Public Recall,Class 1,classified,recall,ventilator,TGA,MediNova,ventilator
06bdcefd-e396-4000-abd3-8bd0e5374469,2025-02-26,AUS,infection detected in cardiac pacemaker,recall,Healthcare Professional,Class 1,open,safety alert,cardiac pacemaker,Health Canada,Meditech Corp,cardiac pacemaker
91895583-31a4-425d-ba6c-8e576cc45b9b,2021-01-29,CAN,paperwork detected in bandage,software update,Retail,Class 3,terminated,field safety,bandage,FDA,MediNova,bandage
75611,2017-02-20,CHE,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,che-ipp-on-implant-sterile,Swiss Agency for Therapeutic Products,,
2dd34e59-670f-41eb-b1d4-eb1ce60d9cfc,2020-11-06,AUS,implant detected in defibrillator,terminated,Healthcare Professional,Class 1,open,safety alert,defibrillator,Health Canada,CardioPlus,defibrillator
b8458f26-2926-4087-b451-98e7c29331f8,2018-11-03,JPN,fatal detected in ventilator,terminated,Hospital,Class 1,classified,safety alert,ventilator,Health Canada,CardioPlus,ventilator
1130cd45-ee2e-48ea-afa6-e8440ff15669,2024-10-23,CAN,performance issue detected in diagnostic monitor,terminated,Hospital,Class 2,classified,safety alert,diagnostic monitor,FDA,HealthTech,diagnostic monitor
33a8d144-39e0-48d7-9e6d-1a6cb24d7b12,2024-08-22,,explosion desected in surgical implant,terminated,Public Recall,Class 1,,safety alert,surgical implant,MHRA,GlobalMed,surgical implant
d792451b-5573-4236-b0d5-741dc7e81a2a,2023-02-01,AUS,serious injury detected in defibrillator,recall,Public Recall,Class 1,terminated,field safety,defibrillator,CDSCO,Meditech Corp,defibrillator
86608,2017-02-20,CAN,A PROCESS CHANGE MAY CAUSE THE FORWARD CUP TO SLIDE OVER THE BALLOON AND OFF THE DEVICE TUBE. THERE WAS AN INCREASE IN THE NUMBER OF REPORTS THAT THE CUP SEPARATED FROM THE STAINLESS STEEL TUBE.,Recall,Hospital/Pharmacy/Laboratory,II,Terminated,Recall,can-vcare-03040102,Health Canada (via FOI),,
5a240d0a-eee5-42b2-a345-3dbb2c567302,2018-08-08,,cardiac detected in ventilalor,terminated,Public Recall,Class 1,,recall,ventilator,PMDA,BioCare,ventilator
9b0eb08c-b290-4482-bf6b-13da308daa9f,2019-03-04,JPN,infection detected in infusion pump,terminated,Healthcare Professional,Class 1,terminated,recall,infusion pump,TGA,CardioPlus,infusion pump
113901,2017-02-20,IRL,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,irl-compostop-cs-the-c5l-s5l-and-the-c5lt-apheresis-disposables-662891f1-416e-40ae-a71d-307bca9026db,Health Products Regulatory Authority,,
79ec8a62-5114-4827-9200-33ec82af0dd5,2021-11-21,IND,death detected in defibrillator,terminated,Healthcare Professional,Class 1,open,safety alert,defibrillator,TGA,GlobalMed,defibrillator
157de871-b9b0-4ed8-ba26-eab4e75f09d3,2022-03-16,AUS,fatal detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,terminated,safety alert,cardiac pacemaker,PMDA,LifeSystems,cardiac pacemaker
d2421d82-e29b-4533-807c-cebf62d956ee,2018-09-07,,performamce issue detected in diagnostic monitor,terminated,Wholesale,Class 2,,recall,diagnostic monitor,Health Canada,CardioPlus,diagnostic monitor
24000,2017-02-20,USA,Tray may contain holes compromising the sterility of the device,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,usa-device-recall-portex-44c655bb-1b86-4775-9df9-7030b6f9c5b9,U.S. Food and Drug Administration,,
6812,2015-09-17,,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,,Field Safety Notice,ita-microstrep-plus-1-b1027-201-microstrep-plus-2-b1027-202-and-microstrep-plus-3-b1016-89a,Ministero della Salute (Health Ministry),,
db08f472-6f6b-40e8-aa51-8ccde117e48d,2023-09-19,DEU,malfunction detected in diagnostic monitor,software update,Sponsor Control,Class 2,classified,field safety,diagnostic monitor,EMA,BioCare,diagnostic monitor
bf1a8312-6018-4392-ac8b-216e961820e1,2019-03-10,,instruction cgrrection detected in catheter,software update,Wholesale,Class 3,,safety alert,catheter,TGA,MediNova,catheter
2f4ee1ab-94fd-41a2-8b47-5d86b0ac7fa1,2023-03-30,BRA,implant detected in ventilator,recall,Public Recall,Class 1,open,field safety,ventilator,Health Canada,HealthTech,ventilator
09dddfdb-f991-46dc-a8f0-485aa4eee683,2017-12-26,DEU,cosmetic defect detected in catheter,software update,Wholesale,Class 3,classified,safety alert,catheter,EMA,BioCare,catheter
48dc8b04-2e61-42dd-a665-ddd58b007571,2020-08-22,FRA,manufacturing defect detected in laser therapy unit,recall,Wholesale,Class 2,terminated,recall,laser therapy unit,FDA,CardioPlus,laser therapy unit
7f4be787-dc51-463f-9081-f5e87c54aa20,2021-04-21,USA,performance issue detected in diagnostic monitor,software update,Sponsor Control,Class 2,classified,safety alert,diagnostic monitor,EMA,GlobalMed,diagnostic monitor
41287,2009-11-10,DEU,Device failure / Feature Before Use - Manufacturing,"Recall for Genesis II C/R Femoral Size 8 Right, Smith & Nephew",Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,deu-genesis-ii-c-r-femoral-size-8-right,Bundesinstitut für Arzneimittel und Medizinprodukte,,
534ae061-c2ff-4905-b0f7-cd9b49e99cbd,2021-09-05,GBR,fatal detected in surgical implant,software update,Healthcare Professional,Class 1,open,recall,surgical implant,PMDA,MediNova,surgical implant
cf044979-528e-4f8c-8af3-18eeb61dc1c0,2019-07-14,IND,documentation update detected in catheter,software update,Retail,Class 3,terminated,recall,catheter,CDSCO,MediNova,catheter
60616433-8ac0-4b3a-bd50-86e29671f697,2023-08-18,CHN,implant detected in cardiac pacemaker,terminated,Public Recall,Class 1,classified,safety alert,cardiac pacemaker,CDSCO,CardioPlus,cardiac pacemaker
03d014bd-6a93-49e6-8865-042ca238cff3,2019-02-20,DEU,packaging detected in bandage,software update,Retail,Class 3,open,recall,bandage,TGA,MediNova,bandage
0658af95-1afe-4637-88a9-5568e2770ac5,2024-05-23,DEU,explosion detected in ventilator,terminated,Public Recall,Class 1,classified,field safety,ventilator,MHRA,Meditech Corp,ventilator
cf361d89-b20c-4e98-bfa0-cfa10deed13a,2018-06-06,BRA,death detected in defibrillator,terminated,Healthcare Professional,Class 1,terminated,safety alert,defibrillator,EMA,GlobalMed,defibrillator
ac136010-9acb-4123-ba44-da906bf1be75,2019-11-03,BRA,death detected in surgical implant,terminated,Public Recall,Class 1,terminated,recall,surgical implant,CDSCO,Meditech Corp,surgical implant
2f6b6704-2d59-4aa0-81a0-8f40781303a9,2025-07-26,FRA,cosmetic defect detected in disposable glove,software update,Sponsor Control,Class 3,classified,recall,disposable glove,PMDA,BioCare,disposable glove
008e3e2f-3e4f-4bc8-9040-101a1c39833d,2023-09-07,FRA,explosion detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,open,recall,cardiac pacemaker,TGA,MediNova,cardiac pacemaker
36392926-d385-435e-ae11-830905b7c7f0,2018-09-23,CAN,instruction correction detected in catheter,recall,Retail,Class 3,classified,safety alert,catheter,EMA,CardioPlus,catheter
34de7313-d88d-4643-bb50-740bbd8b170b,2021-02-25,CHN,documentation update detected in dressing,recall,Retail,Class 3,terminated,field safety,dressing,EMA,BioCare,dressing
3572515a-93d8-45c1-b018-dfdb936b9abc,2022-08-03,MEX,documentation update detected in catheter,software update,Sponsor Control,Class 3,classified,safety alert,catheter,MHRA,Meditech Corp,catheter
5d1bfc81-68e1-4fbd-bd1f-717c326372ec,2025-02-09,,packaging detected in bandage,software update,Wholesale,Class 3,,safety alert,bandage,TGA,CardioPlus,bandage
4c7b24f6-c3b8-4297-9bf9-96465cb437fa,2020-01-28,USA,explosion detected in defibrillator,terminated,Healthcare Professional,Class 1,open,field safety,defibrillator,PMDA,Meditech Corp,defibrillator
c0b336b2-7a76-486b-93fa-9ca0c2dc5cc9,2020-11-16,BRA,cosmetic defect detected in catheter,software update,Sponsor Control,Class 3,classified,safety alert,catheter,Health Canada,MediNova,catheter
20303,2017-02-20,USA,"Closing the Emergency Stop may disable the horizontal motor, allowing the couch top to move during patient load or unload activities.",Recall,Hospital/Pharmacy/Laboratory,Class 2,"Open, Classified",Recall,usa-device-recall-philips-healthcare-brilliance-16-slice-air,U.S. Food and Drug Administration,,
eea086cd-d000-4cea-839e-7869816cba6d,2019-04-13,MEX,malfunction detected in diagnostic monitor,terminated,Sponsor Control,Class 2,classified,recall,diagnostic monitor,TGA,Meditech Corp,diagnostic monitor
2f8d7c3a-03e6-4194-9596-1a25fe2bd31b,2019-12-18,CAN,serious injury detected in surgical implant,software update,Hospital,Class 1,classified,field safety,surgical implant,Health Canada,MediNova,surgical implant
e429840b-e6ca-4441-adeb-5c86a9393f10,2025-08-30,,cosmetic deaect detected in dressing,software update,Retail,Class 3,,recall,dressing,MHRA,LifeSystems,dressing
72651,2017-02-20,CHE,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,2014-09-23,Field Safety Notice,che-teligen-dr-icd,Swiss Agency for Therapeutic Products,,
d3ae081d-b89e-4c04-8d4d-52d1a1a3e40e,2016-05-14,MEX,implant detected in defibrillator,recall,Hospital,Class 1,classified,safety alert,defibrillator,FDA,Meditech Corp,defibrillator
72368,2017-02-20,CHE,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,che-navistar-rmt-catheter,Swiss Agency for Therapeutic Products,,
2bf820c8-c37c-4f36-b544-a9eb1368d3d3,2017-09-01,FRA,software error detected in ultrasound machine,recall,Wholesale,Class 2,open,safety alert,ultrasound machine,MHRA,GlobalMed,ultrasound machine
a4d63308-0cdf-4804-a9e6-aa5141581b58,2017-03-04,DEU,implant detected in infusion pump,terminated,Public Recall,Class 1,open,field safety,infusion pump,FDA,HealthTech,infusion pump
aa7e34b5-4bc5-4382-8a8d-b49f83380737,2021-05-24,AUS,manufacturing defect detected in diagnostic monitor,terminated,Wholesale,Class 2,terminated,safety alert,diagnostic monitor,CDSCO,GlobalMed,diagnostic monitor
571882d3-84ec-442a-9c8f-290cc757df8f,2019-01-15,AUS,cardiac detected in ventilator,software update,Healthcare Professional,Class 1,classified,field safety,ventilator,CDSCO,CardioPlus,ventilator
74785,2017-02-20,CHE,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,che-warmcloud-mattress,Swiss Agency for Therapeutic Products,,
6524ea83-76a4-42fc-a577-f7f1e7d63031,2025-04-13,JPN,packaging detected in syringe,software update,Wholesale,Class 3,classified,safety alert,syringe,TGA,LifeSystems,syringe
105905,2017-02-20,USA,The product may mislabel patient information on culture specimen bottles due to a software miscommunication.,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,usa-biomerieux-kit-instrument-update-7926ca5d-e0b5-43b4-8de9-22e50f6cf5e9,U.S. Food and Drug Administration,,
43af9ee4-7f22-42c1-9b19-df628a38f66d,2023-08-24,IND,performance issue detected in diagnostic monitor,recall,Wholesale,Class 2,classified,recall,diagnostic monitor,Health Canada,MediNova,diagnostic monitor
77d12a46-ee70-4506-8d7d-26784b132027,2015-10-07,,performance issue detected in ultrasound mkchine,recall,Hospital,Class 2,,safety alert,ultrasound machine,MHRA,GlobalMed,ultrasound machine
b24230b7-703e-4c56-871c-52c588bc2725,2017-11-12,BRA,packaging detected in syringe,recall,Wholesale,Class 3,terminated,safety alert,syringe,CDSCO,BioCare,syringe
9513d56e-687e-413d-ae33-a37e3862c682,2015-09-24,BRA,fatal detected in infusion pump,recall,Public Recall,Class 1,terminated,safety alert,infusion pump,TGA,BioCare,infusion pump
e54a2089-bf18-42f7-823b-bbf7169c3425,2018-04-06,BRA,documentation update detected in dressing,recall,Sponsor Control,Class 3,open,field safety,dressing,TGA,HealthTech,dressing
acdead4a-920b-41bd-bda9-5694106f8330,2024-05-27,,terious injury detected in ventilator,terminated,Hospital,Class 1,,safety alert,ventilator,CDSCO,GlobalMed,ventilator
f00f6bdb-ddbe-4f8d-bb4c-e91186441b63,2015-11-22,MEX,paperwork detected in bandage,recall,Wholesale,Class 3,classified,safety alert,bandage,Health Canada,Meditech Corp,bandage
a2cf8abf-7740-4834-9ae5-7d8a53dc619e,2017-12-08,MEX,documentation update detected in catheter,software update,Wholesale,Class 3,classified,recall,catheter,CDSCO,HealthTech,catheter
00d25dd1-f6b4-45b5-8141-ba6f025a280e,2020-11-10,DEU,infection detected in infusion pump,terminated,Public Recall,Class 1,open,recall,infusion pump,EMA,BioCare,infusion pump
bdada8c5-9894-4730-9746-c8858b7e2a66,2024-02-09,AUS,death detected in cardiac pacemaker,software update,Hospital,Class 1,classified,safety alert,cardiac pacemaker,EMA,BioCare,cardiac pacemaker
e3b67b7e-05da-491b-9322-49891c846d75,2025-03-12,IND,explosion detected in surgical implant,recall,Public Recall,Class 1,terminated,recall,surgical implant,EMA,MediNova,surgical implant
c32268f8-84c5-4921-a61a-86f0f19765e2,2019-12-03,IND,serious injury detected in surgical implant,terminated,Public Recall,Class 1,open,field safety,surgical implant,PMDA,BioCare,surgical implant
8a32f92d-63eb-4901-bc0f-18e4a42765a4,2022-12-10,IND,manufacturing defect detected in laser therapy unit,recall,Hospital,Class 2,terminated,safety alert,laser therapy unit,PMDA,GlobalMed,laser therapy unit
111388,2017-02-20,IRL,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,irl-ih-1000-976056c0-8b2a-4d25-8b59-2c08b50746d8,Health Products Regulatory Authority,,
1080a1ba-f3dd-4ad4-8901-98a39d8c93d7,2021-11-13,JPN,death detected in cardiac pacemaker,terminated,Hospital,Class 1,open,recall,cardiac pacemaker,Health Canada,HealthTech,cardiac pacemaker
4a50fb78-8aae-4fea-ad7d-599234fbae1e,2017-08-16,BRA,paperwork detected in syringe,software update,Retail,Class 3,classified,field safety,syringe,FDA,CardioPlus,syringe
bc7ae28d-f064-449e-ac44-4fa576942ce0,2023-01-13,GBR,quality problem detected in x-ray device,terminated,Sponsor Control,Class 2,terminated,safety alert,x-ray device,MHRA,MediNova,x-ray device
2d9e8212-476c-4963-8c3b-ae19815948ea,2016-06-26,CAN,quality problem detected in ultrasound machine,terminated,Sponsor Control,Class 2,open,recall,ultrasound machine,FDA,HealthTech,ultrasound machine
e861b613-25fa-4a78-8c4f-761b34ca0e11,2018-02-27,DEU,instruction correction detected in syringe,software update,Retail,Class 3,classified,field safety,syringe,CDSCO,CardioPlus,syringe
8bbf5d85-8317-4cbc-b800-1f4aa29e6391,2024-08-03,,death detected in cardiac pacemfker,terminated,Hospital,Class 1,,recall,cardiac pacemaker,Health Canada,GlobalMed,cardiac pacemaker
64270008-4ac9-458b-b834-382ac2f15089,2016-11-22,IND,cardiac detected in defibrillator,terminated,Healthcare Professional,Class 1,classified,field safety,defibrillator,EMA,BioCare,defibrillator
4eac6807-a5c4-4044-8092-b6f306707398,2024-07-24,GBR,instruction correction detected in dressing,software update,Retail,Class 3,terminated,recall,dressing,FDA,Meditech Corp,dressing
6095601e-e72a-4f8f-9950-61a74d7262f1,2016-12-21,DEU,fatal detected in infusion pump,software update,Hospital,Class 1,terminated,field safety,infusion pump,MHRA,HealthTech,infusion pump
30b63e19-020f-4b68-bc2d-1d2eb80c9c33,2016-03-04,JPN,death detected in defibrillator,recall,Hospital,Class 1,open,recall,defibrillator,MHRA,HealthTech,defibrillator
913495a2-e691-4bef-8c60-24b3c95ea7da,2017-04-05,MEX,manufacturing defect detected in diagnostic monitor,software update,Hospital,Class 2,open,field safety,diagnostic monitor,PMDA,MediNova,diagnostic monitor
59040fab-8928-4b9f-a258-d711b742b37d,2020-09-11,,explosion detected in defibrillator,recall,Healthcare Professional,Class 1,,recall,defibrillator,EMA,HealthTech,defibrillator
474cf858-4fd9-4a79-8876-ed6c8c79729e,2023-03-28,MEX,death detected in ventilator,recall,Healthcare Professional,Class 1,classified,recall,ventilator,FDA,CardioPlus,ventilator
1a356c4e-1364-4424-824d-0717a8611363,2016-06-13,GBR,paperwork detected in syringe,software update,Retail,Class 3,terminated,recall,syringe,EMA,MediNova,syringe
be6ebb0a-0c85-437a-abdd-2c9e8cea0597,2023-07-26,AUS,fatal detected in infusion pump,terminated,Public Recall,Class 1,terminated,field safety,infusion pump,EMA,CardioPlus,infusion pump
14e6eb21-1b0a-4d56-8bd3-9cc8e3f2d741,2018-01-21,MEX,fatal detected in defibrillator,terminated,Public Recall,Class 1,open,safety alert,defibrillator,Health Canada,GlobalMed,defibrillator
5ce9b7ba-1a56-4bf4-9371-c9ea41b08a9e,2022-08-07,CHN,infection detected in infusion pump,recall,Hospital,Class 1,open,recall,infusion pump,EMA,BioCare,infusion pump
